"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"607","ENSG00000135821",19973.4000047829,3.04139431932713,0.27601795596701,11.0188277739824,3.10070622958728e-28,1.95667482696247e-25,2752,"GLUL","1",182381704,182392206,-1,"protein_coding","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"953","ENSG00000164647",1885.61489540935,1.54719062113165,0.142632015155485,10.8474287448371,2.0511441149481e-27,1.24258310483556e-24,26872,"STEAP1","7",90154375,90164829,1,"protein_coding","six transmembrane epithelial antigen of the prostate 1 [Source:HGNC Symbol;Acc:HGNC:11378]"
"846","ENSG00000157150",194.419230565533,2.90878364671797,0.268510811606747,10.8330224370186,2.40096952444407e-27,1.39856474798867e-24,7079,"TIMP4","3",12153051,12159351,-1,"protein_coding","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
"1433","ENSG00000276600",308.766133363223,-1.76082839668048,0.162985378558559,-10.8035973058027,3.30976814568133e-27,1.85653476171644e-24,338382,"RAB7B","1",205976740,206003461,-1,"protein_coding","RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"
"927","ENSG00000163697",2417.25697073947,0.917524262526219,0.085961136101308,10.6737102851327,1.35120797990361e-26,7.30858744844293e-24,323,"APBB2","4",40810027,41216714,-1,"protein_coding","amyloid beta (A4) precursor protein-binding, family B, member 2 [Source:HGNC Symbol;Acc:HGNC:582]"
"412","ENSG00000116285",3268.63191573428,2.44021983043098,0.229406360354869,10.6371062539687,2.00252150087289e-26,1.04579959071448e-23,54206,"ERRFI1","1",8004404,8026308,-1,"protein_coding","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]"
"1181","ENSG00000181467",614.694820343917,-1.2618892116439,0.118695700132271,-10.6312967549598,2.13128175779866e-26,1.07594207406202e-23,5912,"RAP2B","3",153162270,153167173,1,"protein_coding","RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]"
"1200","ENSG00000183044",534.268135899311,1.00628636891542,0.0950895908948702,10.58250813202,3.59211470950392e-26,1.75492184759474e-23,18,"ABAT","16",8674565,8784575,1,"protein_coding","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]"
"905","ENSG00000162692",501.804184764929,-3.53333473074728,0.33435835593642,-10.5675083873757,4.21545536750684e-26,1.99509598565285e-23,7412,"VCAM1","1",100719742,100739045,1,"protein_coding","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]"
"932","ENSG00000163884",574.142864572114,4.53724566859664,0.431748522852716,10.5090010235992,7.85208638357719e-26,3.60363176603868e-23,28999,"KLF15","3",126342635,126357442,-1,"protein_coding","Kruppel-like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]"
"1425","ENSG00000273259",2004.06797116422,3.36549839921694,0.323466711926365,10.4044659778873,2.36578827024363e-25,1.05381951037764e-22,12,"SERPINA3","14",94592058,94624646,1,"protein_coding","Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 3, isoform CRA_c  [Source:UniProtKB/TrEMBL;Acc:A0A024R6P0]"
"350","ENSG00000110756",990.645486606917,1.49026598111585,0.147018214852136,10.1366077843803,3.80069010507963e-24,1.64461290404089e-21,11234,"HPS5","11",18278668,18322198,-1,"protein_coding","Hermansky-Pudlak syndrome 5 [Source:HGNC Symbol;Acc:HGNC:17022]"
"437","ENSG00000119138",1717.46623459215,2.1278755378679,0.211779275958774,10.0476098439496,9.41225857230365e-24,3.95968489104275e-21,687,"KLF9","9",70384597,70414624,-1,"protein_coding","Kruppel-like factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]"
"129","ENSG00000077684",1762.18309743193,1.18958326792686,0.118691652254231,10.0224678428002,1.21432306845893e-23,4.97051969508393e-21,79960,"JADE1","4",128809623,128875224,1,"protein_coding","jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]"
"270","ENSG00000103502",3348.30312527958,0.839753280171511,0.0839103821962121,10.0077399028868,1.40935371008683e-23,5.6170162998066e-21,10423,"CDIPT","16",29858357,29863736,-1,"protein_coding","CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]"
"988","ENSG00000166482",27413.4128904298,-0.949287568922092,0.0953474149899111,-9.95609130066649,2.37205923193033e-23,9.2114966839961e-21,4239,"MFAP4","17",19383442,19387240,-1,"protein_coding","microfibrillar-associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"1239","ENSG00000185950",2275.98209759502,2.16650967707574,0.219971827113062,9.84903251252348,6.92069371603236e-23,2.62034765823275e-20,8660,"IRS2","13",109752698,109786568,-1,"protein_coding","insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]"
"977","ENSG00000165995",513.109573436338,3.00661382913942,0.305925153414438,9.82793927070896,8.53472689625419e-23,3.15264484984804e-20,783,"CACNB2","10",18140677,18541869,1,"protein_coding","calcium channel, voltage-dependent, beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1402]"
"264","ENSG00000103196",3096.15933899728,2.62603420335245,0.267470544927557,9.81803138010468,9.41644064553503e-23,3.39552365658638e-20,83716,"CRISPLD2","16",84819984,84920768,1,"protein_coding","cysteine-rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]"
"1363","ENSG00000211445",12537.1799334237,3.77018286930709,0.385630163148349,9.77668043009574,1.41784625049985e-22,4.99378638693493e-20,2878,"GPX3","5",151020438,151028993,1,"protein_coding","glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]"
"851","ENSG00000157510",502.245335458258,1.82248106240131,0.188076126249963,9.6901244125963,3.32123848029342e-22,1.14318538145554e-19,134265,"AFAP1L1","5",149271871,149341802,1,"protein_coding","actin filament associated protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:26714]"
"1300","ENSG00000197043",14235.8891385396,0.954687000916643,0.0993535823492879,9.60898417895332,7.32682282131098e-22,2.41227677453815e-19,309,"ANXA6","5",151100712,151157882,-1,"protein_coding","annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]"
"1381","ENSG00000221869",1996.6227385359,1.51593635980908,0.157725271630385,9.61124583358804,7.16764186722352e-22,2.41227677453815e-19,1052,"CEBPD","8",47736909,47739086,-1,"protein_coding","CCAAT/enhancer binding protein (C/EBP), delta [Source:HGNC Symbol;Acc:HGNC:1835]"
"667","ENSG00000139289",2896.74376144142,-1.07092614947886,0.112128921991165,-9.55084674374413,1.2864052710939e-21,4.14523570866321e-19,22822,"PHLDA1","12",76025447,76033932,-1,"protein_coding","pleckstrin homology-like domain, family A, member 1 [Source:HGNC Symbol;Acc:HGNC:8933]"
"546","ENSG00000131389",738.395170724894,-1.96399622611388,0.205869628668621,-9.5399998475503,1.42832524818638e-21,4.50666372578806e-19,6533,"SLC6A6","3",14402576,14489349,1,"protein_coding","solute carrier family 6 (neurotransmitter transporter), member 6 [Source:HGNC Symbol;Acc:HGNC:11052]"
"857","ENSG00000158246",70.9156124341666,2.34457248798854,0.246715796134002,9.50313082797141,2.03672777178384e-21,6.29515144972782e-19,115572,"FAM46B","1",27005020,27012836,-1,"protein_coding","family with sequence similarity 46, member B [Source:HGNC Symbol;Acc:HGNC:28273]"
"735","ENSG00000145777",152.344620594276,-2.71541754587155,0.288503128556842,-9.41209046659107,4.86365826217885e-21,1.47320208761397e-18,85480,"TSLP","5",111070062,111078024,1,"protein_coding","thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]"
"1179","ENSG00000181061",2495.79383552303,1.2697186627593,0.135468328427738,9.3728082238543,7.06278771626691e-21,2.09737097966397e-18,25994,"HIGD1A","3",42784298,42804531,-1,"protein_coding","HIG1 hypoxia inducible domain family, member 1A [Source:HGNC Symbol;Acc:HGNC:29527]"
"848","ENSG00000157214",3042.42442776058,1.99782070002371,0.213890144513652,9.34040558327919,9.5965795946285e-21,2.79500380693555e-18,261729,"STEAP2","7",90167590,90238137,1,"protein_coding","STEAP family member 2, metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]"
"326","ENSG00000108821",102624.279264829,-1.27736598509062,0.137384692037255,-9.29773154598796,1.43473950132508e-20,4.02391291621637e-18,1277,"COL1A1","17",50183289,50201632,-1,"protein_coding","collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]"
"796","ENSG00000151726",1467.32301351221,1.57907014875435,0.169811394268188,9.29896462813607,1.41819929450324e-20,4.02391291621637e-18,2180,"ACSL1","4",184755595,184826818,-1,"protein_coding","acyl-CoA synthetase long-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]"
"486","ENSG00000124766",1291.40790053461,-2.33654878399857,0.251630061492322,-9.28565041132757,1.60722512729297e-20,4.42571355506401e-18,6659,"SOX4","6",21592769,21598619,1,"protein_coding","SRY (sex determining region Y)-box 4 [Source:HGNC Symbol;Acc:HGNC:11200]"
"684","ENSG00000141401",619.513260387526,2.19485418360676,0.237408094363844,9.24506887386491,2.35089257555605e-20,6.3579050101422e-18,3613,"IMPA2","18",11981025,12030883,1,"protein_coding","inositol(myo)-1(or 4)-monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]"
"3","ENSG00000003402",3368.72335143759,1.16249955008498,0.126122439900032,9.21723010597012,3.04873788111014e-20,7.85935616248998e-18,8837,"CFLAR","2",201116104,201176687,1,"protein_coding","CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"372","ENSG00000112837",2671.19815511368,-1.63666383201908,0.177535574531456,-9.21879367748402,3.00461316508805e-20,7.85935616248998e-18,9096,"TBX18","6",84687351,84764519,-1,"protein_coding","T-box 18 [Source:HGNC Symbol;Acc:HGNC:11595]"
"852","ENSG00000157514",2226.72449000203,3.34428297469444,0.362847481243393,9.21677329338036,3.0617498421057e-20,7.85935616248998e-18,1831,"TSC22D3","X",107713221,107777342,-1,"protein_coding","TSC22 domain family, member 3 [Source:HGNC Symbol;Acc:HGNC:3051]"
"1048","ENSG00000169715",553.702542171806,2.16215512840955,0.235815109493103,9.16885747082624,4.78058821074169e-20,1.18691817133906e-17,4493,"MT1E","16",56625475,56627112,1,"protein_coding","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]"
"1298","ENSG00000196975",4931.1015623731,1.12894750999332,0.123110301968023,9.17021152532434,4.72091764743938e-20,1.18691817133906e-17,307,"ANXA4","2",69644425,69826464,1,"protein_coding","annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]"
"523","ENSG00000128923",1481.50742728071,1.05791485275878,0.11614232097109,9.10878002017983,8.33135137284959e-20,2.03513413777108e-17,54629,"FAM63B","15",58771192,58861900,1,"protein_coding","family with sequence similarity 63, member B [Source:HGNC Symbol;Acc:HGNC:26954]"
"700","ENSG00000143320",1513.74032144022,-1.70763401563627,0.187609511865018,-9.10206523465019,8.8630174730309e-20,2.13064126395322e-17,1382,"CRABP2","1",156699606,156705816,-1,"protein_coding","cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]"
"1149","ENSG00000177283",147.951649785997,2.46517889923527,0.272263380415554,9.05439025796523,1.37332901589931e-19,3.24985436653048e-17,8325,"FZD8","10",35638249,35642278,-1,"protein_coding","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]"
"951","ENSG00000164484",814.401987519494,-1.18488989788326,0.130895716022529,-9.05216712882582,1.40158570642032e-19,3.26569469595934e-17,114801,"TMEM200A","6",130365734,130443063,1,"protein_coding","transmembrane protein 200A [Source:HGNC Symbol;Acc:HGNC:21075]"
"853","ENSG00000157613",2823.8992896954,-0.967541096752917,0.107808249891728,-8.97464802299099,2.84259181810182e-19,6.52288683108364e-17,90993,"CREB3L1","11",46277661,46321422,1,"protein_coding","cAMP responsive element binding protein 3-like 1 [Source:HGNC Symbol;Acc:HGNC:18856]"
"108","ENSG00000072958",2239.04534337653,1.10184715546392,0.123239426623656,8.94070335809578,3.86701135134569e-19,8.74117715166126e-17,8907,"AP1M1","19",16197578,16245907,1,"protein_coding","adaptor-related protein complex 1, mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:13667]"
"27","ENSG00000019995",2150.37632011757,0.983999268221212,0.111167111349326,8.85153222277356,8.63258416705696e-19,1.92265422367761e-16,54764,"ZRANB1","10",124942123,124988189,1,"protein_coding","zinc finger, RAN-binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]"
"19","ENSG00000012048",241.117643587367,-1.40352742335558,0.158893365118043,-8.83314052989494,1.01777025641169e-18,2.23393196135581e-16,672,"BRCA1","17",43044295,43125483,-1,"protein_coding","breast cancer 1, early onset [Source:HGNC Symbol;Acc:HGNC:1100]"
"824","ENSG00000154734",29872.9878556811,2.18781090856898,0.24857713846083,8.80133596402201,1.35196948223269e-18,2.92508254405916e-16,9510,"ADAMTS1","21",26835747,26845409,-1,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:HGNC Symbol;Acc:HGNC:217]"
"1230","ENSG00000185432",3844.86229573871,2.27103730440435,0.2597069986176,8.74461341624564,2.23780498026802e-18,4.7734586515717e-16,25840,"METTL7A","12",50923472,50932517,1,"protein_coding","methyltransferase like 7A [Source:HGNC Symbol;Acc:HGNC:24550]"
"877","ENSG00000159884",556.366128273062,1.06266588913772,0.121870817153953,8.71960912344838,2.79163825956938e-18,5.87213353349698e-16,203260,"CCDC107","9",35658290,35661511,1,"protein_coding","coiled-coil domain containing 107 [Source:HGNC Symbol;Acc:HGNC:28465]"
"923","ENSG00000163513",13345.3548115132,1.4709020397981,0.168753584380136,8.71627139181075,2.8751364862357e-18,5.96492357315611e-16,7048,"TGFBR2","3",30606502,30694142,1,"protein_coding","transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:HGNC:11773]"
"664","ENSG00000139132",1181.85578266924,2.05688309768939,0.236535588525796,8.69587156211411,3.44177591023682e-18,7.04401299466711e-16,121512,"FGD4","12",32399529,32646050,1,"protein_coding","FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]"
"1274","ENSG00000196136",739.309178654879,3.19630747360769,0.370210744606051,8.63375123541848,5.9372046282644e-18,1.19891952126752e-15,NA,"SERPINA3","14",94612384,94624055,1,"protein_coding","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 [Source:HGNC Symbol;Acc:HGNC:16]"
"1109","ENSG00000172986",767.400836637411,-1.64194435320152,0.190239803294591,-8.63091910718038,6.08609169732786e-18,1.2128139310004e-15,727936,"GXYLT2","3",72888073,72998138,1,"protein_coding","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]"
"1202","ENSG00000183160",2936.72405730511,-1.17321055964282,0.136033880243547,-8.62439972705605,6.44297047224688e-18,1.26725698444388e-15,338773,"TMEM119","12",108589846,108598320,-1,"protein_coding","transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]"
"269","ENSG00000103485",876.983547374098,-1.12050846314542,0.130413296366596,-8.5919802225966,8.54831057175925e-18,1.65979696934992e-15,23475,"QPRT","16",29679008,29698699,1,"protein_coding","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]"
"1121","ENSG00000173838",68.6105850526452,3.42349509217424,0.399943746318134,8.55994155100759,1.129247569004e-17,2.16486764969185e-15,162333,"MARCH10","17",62701314,62808344,-1,"protein_coding","membrane-associated ring finger (C3HC4) 10, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:26655]"
"1049","ENSG00000169738",602.04981640171,1.96040513507749,0.23020022884204,8.51608682119375,1.65035124505552e-17,3.12432120079572e-15,51181,"DCXR","17",82035136,82037732,-1,"protein_coding","dicarbonyl/L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]"
"1307","ENSG00000197321",9110.11696451622,-0.699698198872982,0.0822321278292126,-8.50881787135779,1.75715594222802e-17,3.28544774630165e-15,6840,"SVIL","10",29457338,29736781,-1,"protein_coding","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"747","ENSG00000146592",694.975972522806,-2.04981131003688,0.241239022544952,-8.49701382642154,1.94530272702911e-17,3.59287924400682e-15,9586,"CREB5","7",28299321,28825894,1,"protein_coding","cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]"
"205","ENSG00000099860",373.609719689536,1.4159243983958,0.1677042597082,8.44298410105663,3.09337190553066e-17,5.6444719890677e-15,4616,"GADD45B","19",2476122,2478259,1,"protein_coding","growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:HGNC:4096]"
"517","ENSG00000128311",323.623146252674,1.34158940745352,0.15901039855144,8.43711744436329,3.25259595675603e-17,5.86435306727024e-15,7263,"TST","22",37010859,37020183,-1,"protein_coding","thiosulfate sulfurtransferase (rhodanese) [Source:HGNC Symbol;Acc:HGNC:12388]"
"580","ENSG00000134253",144.951068185965,-1.98700571939165,0.235867466696703,-8.42424666368549,3.63078667026701e-17,6.46920754366986e-15,80263,"TRIM45","1",117111060,117122587,-1,"protein_coding","tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]"
"1410","ENSG00000253368",1051.87338068471,1.99298365819333,0.236818150277671,8.41567107865905,3.90652019564389e-17,6.87956376314264e-15,388610,"TRNP1","1",26993707,27000898,1,"protein_coding","TMF1-regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348]"
"579","ENSG00000134243",5569.87422804189,2.21273109333576,0.263715448076358,8.39060096583751,4.83663351518135e-17,8.41963386062317e-15,6272,"SORT1","1",109309568,109397951,-1,"protein_coding","sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]"
"901","ENSG00000162616",1478.62500195149,1.36934250607853,0.163262423332935,8.38737094625919,4.97134440151936e-17,8.55579670011485e-15,11080,"DNAJB4","1",77979175,78017964,1,"protein_coding","DnaJ (Hsp40) homolog, subfamily B, member 4 [Source:HGNC Symbol;Acc:HGNC:14886]"
"788","ENSG00000150907",688.476650962791,2.30496442388123,0.276350950392112,8.34071466231882,7.38428823992433e-17,1.25657354374892e-14,2308,"FOXO1","13",40555667,40666597,-1,"protein_coding","forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]"
"1008","ENSG00000167549",2012.78985108593,2.38044046101997,0.28711219334614,8.29097654570918,1.12322433980881e-16,1.89013695848939e-14,84940,"CORO6","17",29614756,29622907,-1,"protein_coding","coronin 6 [Source:HGNC Symbol;Acc:HGNC:21356]"
"631","ENSG00000137076",20054.8384767669,0.638116630872106,0.0770161139888372,8.2854950454212,1.17618807414952e-16,1.95751300912027e-14,7094,"TLN1","9",35696948,35732395,-1,"protein_coding","talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
"567","ENSG00000132970",1317.16857123589,1.08140845100666,0.13073054041487,8.27204146464047,1.31684486476238e-16,2.16778429095937e-14,10810,"WASF3","13",26557703,26688948,1,"protein_coding","WAS protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:12734]"
"571","ENSG00000133142",3090.51775861329,1.47987220298307,0.17940770334425,8.24865474222959,1.60187498521798e-16,2.60864480119637e-14,79921,"TCEAL4","X",103576231,103587736,1,"protein_coding","transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]"
"761","ENSG00000148120",677.473392933758,1.23763748703493,0.150979302551217,8.19739835938825,2.45645352244059e-16,3.91610406288028e-14,84909,"C9orf3","9",94726701,95087218,1,"protein_coding","chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:1361]"
"922","ENSG00000163491",152.333491281033,-2.07305359103836,0.252883641353378,-8.19765794237947,2.45115643243939e-16,3.91610406288028e-14,152110,"NEK10","3",27110085,27369460,-1,"protein_coding","NIMA-related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]"
"1208","ENSG00000183722",3035.76768508864,0.709162956567055,0.0867529407875823,8.17451201226095,2.97065732576161e-16,4.68652137486037e-14,10186,"LHFP","13",39342892,39603528,-1,"protein_coding","lipoma HMGIC fusion partner [Source:HGNC Symbol;Acc:HGNC:6586]"
"260","ENSG00000103064",1735.71982860339,1.37532680433613,0.168769287540435,8.14915334643824,3.6648098796708e-16,5.72201501315612e-14,9057,"SLC7A6","16",68264516,68301823,1,"protein_coding","solute carrier family 7 (amino acid transporter light chain, y+L system), member 6 [Source:HGNC Symbol;Acc:HGNC:11064]"
"907","ENSG00000162704",2647.51641081926,0.896589539873491,0.1104664468775,8.11639701662305,4.8022787194223e-16,7.36550553057839e-14,10092,"ARPC5","1",183620846,183635757,-1,"protein_coding","actin related protein 2/3 complex, subunit 5, 16kDa [Source:HGNC Symbol;Acc:HGNC:708]"
"1171","ENSG00000179593",68.3800745222305,8.90550233947414,1.09726597228647,8.11608357900406,4.81469163108129e-16,7.36550553057839e-14,247,"ALOX15B","17",8039017,8049134,1,"protein_coding","arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]"
